Project #940538:
Spearman - 
,Commits,Failures,Betweenness Centrality,Closeness Centrality,Degree Centrality
Commits,1.0,0.8454036015817074,0.6334528836451756,-0.20591570829445996,0.9294846364640328
Failures,0.8454036015817074,1.0,0.5893475300014804,-0.024703384293919366,0.8693587749957136
Betweenness Centrality,0.6334528836451756,0.5893475300014804,0.9999999999999999,0.12009993163754755,0.7650124069895912
Closeness Centrality,-0.20591570829445988,-0.02470338429391791,0.12009993163754741,1.0,-0.035359304445239145
Degree Centrality,0.9294846364640329,0.8693587749957136,0.765012406989591,-0.03535930444523965,1.0
,Commits,Failures,Betweenness Centrality,Closeness Centrality,Degree Centrality
Commits,0.0,1.0,1.0,1.0,1.0
Failures,1.0,0.0,1.0,1.0,1.0
Betweenness Centrality,1.0,1.0,0.0,1.0,1.0
Closeness Centrality,1.0,1.0,1.0,0.0,1.0
Degree Centrality,1.0,1.0,1.0,1.0,0.0
Precision & Recall - 
Threshold,0.25
0,1.0,0.4929881337648328
1,1.0,0.5024443237370994
2,1.0,0.5062738679759956
3,1.0,0.5
4,1.0,0.5010582010582011
5,1.0,0.5021074815595363
6,1.0,0.4940347071583514
7,1.0,0.5083199141170156
8,1.0,0.4955333683657383
9,1.0,0.515868436237738
10,1.0,0.5013433637829124
11,1.0,0.5018334206390781
12,1.0,0.5084653194975424
13,1.0,0.5120772946859904
14,1.0,0.497787610619469
15,1.0,0.5111821086261981
16,1.0,0.5193965517241379
17,1.0,0.4989010989010989
18,1.0,0.4910762574364521
19,1.0,0.5029972752043597
20,1.0,0.5067677314564158
21,1.0,0.4912854030501089
22,1.0,0.50840108401084
23,1.0,0.5048179871520343
24,1.0,0.4994797086368366
25,1.0,0.5101604278074866
26,1.0,0.5065934065934066
27,1.0,0.5159545700378583
28,1.0,0.5049126637554585
29,1.0,0.5032258064516129
30,1.0,0.49367755532139096
31,1.0,0.4945770065075922
32,1.0,0.5101931330472103
33,1.0,0.5166578529878372
34,1.0,0.518176885512751
35,1.0,0.5010706638115632
36,1.0,0.5030203185063152
37,1.0,0.4906065485775631
38,1.0,0.4854525862068966
39,1.0,0.5106966538672518
40,1.0,0.5044110015568241
41,1.0,0.48232189973614775
42,1.0,0.5027472527472527
43,1.0,0.4945054945054945
44,1.0,0.5005464480874317
45,1.0,0.5106732348111659
46,1.0,0.516580310880829
47,1.0,0.5128908392759188
48,1.0,0.49943757030371205
49,1.0,0.4937669376693767
50,1.0,0.5136436597110754
51,1.0,0.4983922829581994
52,1.0,0.5176342919153554
53,1.0,0.5015889830508474
54,1.0,0.5195227765726681
55,1.0,0.5112781954887218
56,1.0,0.5066880684858213
57,1.0,0.4929270946681175
58,1.0,0.49974025974025976
59,1.0,0.5042507970244421
60,1.0,0.5110526315789473
61,1.0,0.5176899063475546
62,1.0,0.5002763957987839
63,1.0,0.4967213114754098
64,1.0,0.4907554146856841
65,1.0,0.4989071038251366
66,1.0,0.5067567567567568
67,1.0,0.5075593952483801
68,1.0,0.5075955997904662
69,1.0,0.5
70,1.0,0.49763282482903737
71,1.0,0.5108273181565797
72,1.0,0.5145272054939249
73,1.0,0.4935135135135135
74,1.0,0.5082056892778993
75,1.0,0.49455337690631807
76,1.0,0.5010869565217392
77,1.0,0.5064516129032258
78,1.0,0.5121032813340506
79,1.0,0.4994493392070485
80,1.0,0.5024232633279483
81,1.0,0.49349240780911063
82,1.0,0.499194847020934
83,1.0,0.5021119324181627
84,1.0,0.5
85,1.0,0.50840108401084
86,1.0,0.5021668472372698
87,1.0,0.5097831835007932
88,1.0,0.5029146793852676
89,1.0,0.49893048128342243
90,1.0,0.5137563166760247
91,1.0,0.5041580041580042
92,1.0,0.49780941949616647
93,1.0,0.5048231511254019
94,1.0,0.4941737288135593
95,1.0,0.495656894679696
96,1.0,0.5112271540469974
97,1.0,0.5115653577192039
98,1.0,0.5105204872646734
99,1.0,0.5078336034575905
Mean,1.0,0.5036957260466136
Median,1.0,0.5029559772948136
Standard Dev.,0.0,0.007902963041904281
-,-,-,-
