Project #8877255:
Spearman - 
,Commits,Failures,Betweenness Centrality,Closeness Centrality,Degree Centrality
Commits,1.0,0.9275227586413121,0.8052382138305473,0.8741987450543185,0.9702337051005495
Failures,0.9275227586413121,1.0,0.7744696412062366,0.8182222858504747,0.9284767762750864
Betweenness Centrality,0.8052382138305473,0.7744696412062366,1.0,0.9025155422935659,0.8702860394059967
Closeness Centrality,0.8741987450543185,0.8182222858504746,0.9025155422935659,1.0,0.9316183383011799
Degree Centrality,0.9702337051005495,0.9284767762750864,0.8702860394059966,0.9316183383011799,1.0
,Commits,Failures,Betweenness Centrality,Closeness Centrality,Degree Centrality
Commits,0.0,1.0,1.0,1.0,1.0
Failures,1.0,0.0,1.0,1.0,1.0
Betweenness Centrality,1.0,1.0,0.0,1.0,1.0
Closeness Centrality,1.0,1.0,1.0,0.0,1.0
Degree Centrality,1.0,1.0,1.0,1.0,0.0
Precision & Recall - 
Threshold,0.25
0,0.7428571428571429,0.8647450110864745
1,0.7360515021459227,0.767337807606264
2,0.7276785714285714,0.800982800982801
3,0.7400793650793651,0.8400900900900901
4,0.7490636704119851,0.8368200836820083
5,0.7392996108949417,0.8539325842696629
6,0.7254098360655737,0.7831858407079646
7,0.7668067226890757,0.7917570498915402
8,0.722,0.8337182448036952
9,0.7474332648870636,0.7913043478260869
10,0.7421259842519685,0.8177874186550976
11,0.7163865546218487,0.7967289719626168
12,0.7222222222222222,0.7869955156950673
13,0.724,0.8341013824884793
14,0.7082494969818913,0.8186046511627907
15,0.7596899224806202,0.7983706720977597
16,0.7220149253731343,0.8543046357615894
17,0.7456647398843931,0.8449781659388647
18,0.7145748987854251,0.8364928909952607
19,0.7120315581854043,0.8279816513761468
20,0.7073170731707317,0.8266033254156769
21,0.7782340862422998,0.79957805907173
22,0.7529880478087649,0.8199566160520607
23,0.7537154989384289,0.801354401805869
24,0.7312252964426877,0.7991360691144709
25,0.7611336032388664,0.7768595041322314
26,0.7226415094339622,0.8183760683760684
27,0.7346072186836518,0.7972350230414746
28,0.7277777777777777,0.81875
29,0.75,0.8271028037383178
30,0.789795918367347,0.8181818181818182
31,0.752895752895753,0.7975460122699386
32,0.7298311444652908,0.8456521739130435
33,0.7763440860215054,0.7830802603036876
34,0.7854166666666667,0.7854166666666667
35,0.7403314917127072,0.8516949152542372
36,0.7605363984674329,0.8202479338842975
37,0.7430683918669131,0.8392484342379958
38,0.7616161616161616,0.7837837837837838
39,0.7205882352941176,0.8285024154589372
40,0.726530612244898,0.8018018018018018
41,0.7182835820895522,0.8555555555555555
42,0.7737373737373737,0.7962577962577962
43,0.7084148727984344,0.8227272727272728
44,0.7453183520599251,0.8361344537815126
45,0.7182539682539683,0.8098434004474273
46,0.7495219885277247,0.8540305010893247
47,0.7381889763779528,0.7995735607675906
48,0.7733598409542743,0.8189473684210526
49,0.7544204322200393,0.7950310559006211
50,0.724950884086444,0.831081081081081
51,0.7529644268774703,0.7987421383647799
52,0.7208835341365462,0.8290993071593533
53,0.7385892116182573,0.7928730512249443
54,0.7028112449799196,0.8373205741626795
55,0.7281947261663286,0.8031319910514542
56,0.7221095334685599,0.7876106194690266
57,0.7326315789473684,0.7699115044247787
58,0.7270788912579957,0.7680180180180181
59,0.7208835341365462,0.8407494145199064
60,0.757201646090535,0.8017429193899782
61,0.755859375,0.8486842105263158
62,0.7762096774193549,0.7715430861723447
63,0.7566462167689162,0.7740585774058577
64,0.7673469387755102,0.7800829875518672
65,0.7531120331950207,0.8194130925507901
66,0.7672064777327935,0.7928870292887029
67,0.7398373983739838,0.8425925925925926
68,0.7314629258517034,0.8183856502242153
69,0.7545638945233266,0.7701863354037267
70,0.7372708757637475,0.7956043956043956
71,0.735812133072407,0.8337028824833703
72,0.7777777777777778,0.8037578288100209
73,0.7505154639175258,0.8348623853211009
74,0.7398058252427184,0.8089171974522293
75,0.7321063394683026,0.817351598173516
76,0.7494866529774127,0.7684210526315789
77,0.7403100775193798,0.8076109936575053
78,0.7170923379174853,0.8333333333333334
79,0.7195357833655706,0.7948717948717948
80,0.7388781431334622,0.8470066518847007
81,0.7396694214876033,0.8344988344988346
82,0.7325800376647834,0.841991341991342
83,0.7677165354330708,0.8158995815899581
84,0.7390510948905109,0.8653846153846154
85,0.7395437262357415,0.8276595744680851
86,0.7351129363449692,0.788546255506608
87,0.7029914529914529,0.7966101694915254
88,0.7360594795539034,0.8665207877461707
89,0.7568093385214008,0.8401727861771058
90,0.7859922178988327,0.8112449799196787
91,0.747534516765286,0.8293216630196937
92,0.7467411545623837,0.8406708595387841
93,0.7326732673267327,0.8545034642032333
94,0.7936507936507936,0.8
95,0.7359307359307359,0.8056872037914692
96,0.7400379506641366,0.8057851239669421
97,0.7203389830508474,0.7744874715261959
98,0.7565392354124748,0.8337028824833703
99,0.7305263157894737,0.8183962264150944
Mean,0.7415836910135927,0.8148306698505718
Median,0.7396065738616724,0.8179846184184579
Standard Dev.,0.020125712988813296,0.025414209454592017
-,-,-,-
